Year,Measure,Fishery,Gear,Area,Value,Unit
2013,QuotaIssued,Food and Bait,,PrinceRupertDistrict,50,tons
2013,Landings,Roe herring,Gillnet,StraitofGeorgia,"6,509",tons
2013,Landings,Roe herring,Gillnet,PrinceRupertDistrict,"1,415",tons
2013,Landings,Roe herring,Seine,StraitofGeorgia,"6,723",tons
2013,Landings,Roe herring,Seine,PrinceRupertDistrict,818,tons
2013,Landings,Food and Bait,,StraitofGeorgia,"4,400",tons
2013,Landings,Food and Bait,,PrinceRupertDistrict,-,
2013,#Pools,Roe herring,Gillnet,StraitofGeorgia,15,
2013,#Pools,Roe herring,Gillnet,PrinceRupertDistrict,7,
2013,#Pools,Roe herring,Seine,StraitofGeorgia,9,
2013,#Pools,Roe herring,Seine,PrinceRupertDistrict,1,
2013,#Licences,Roe herring,Gillnet,StraitofGeorgia,1049,
2013,#Licences,Roe herring,Gillnet,PrinceRupertDistrict,215,
2013,#Licences,Roe herring,Seine,StraitofGeorgia,226,
2013,#Licences,Roe herring,Seine,PrinceRupertDistrict,24,
2013,#Licences,Food and Bait,,StraitofGeorgia,101,
2013,#Licences,Food and Bait,,PrinceRupertDistrict,0,
2013,Tonsperlicence,Roe herring,Gillnet,StraitofGeorgia,6.053,tons
2013,Tonsperlicence,Roe herring,Gillnet,PrinceRupertDistrict,6.047,tons
2013,Tonsperlicence,Roe herring,Seine,StraitofGeorgia,29.447,tons
2013,Tonsperlicence,Roe herring,Seine,PrinceRupertDistrict,33.333,tons
2013,Open,Roe herring,Gillnet,StraitofGeorgia,2013-03-02 16:00,
2013,Open,Roe herring,Gillnet,PrinceRupertDistrict,2013-03-20 8:00,
2013,Open,Roe herring,Seine,StraitofGeorgia,2013-03-03 17:30,
2013,Open,Roe herring,Seine,PrinceRupertDistrict,"Mar19, 2013 17:15/Mar.
22, 2013 11:05",
2012,ExpectedUse,Roe herring,Gillnet,StraitofGeorgia,"4,850",tons
2012,ExpectedUse,Roe herring,Gillnet,PrinceRupertDistrict,"1,000",tons
2012,ExpectedUse,Roe herring,Seine,StraitofGeorgia,"6,650",tons
2012,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,500,tons
2012,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"4,850",tons
2012,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,000",tons
2012,QuotaIssued,Roe herring,Seine,StraitofGeorgia,"6,650",tons
2012,QuotaIssued,Roe herring,Seine,PrinceRupertDistrict,500,tons
2012,QuotaIssued,Food and Bait,,StraitofGeorgia,"6,000",tons
2012,QuotaIssued,Food and Bait,,PrinceRupertDistrict,60,tons
2012,Landings,Roe herring,Gillnet,StraitofGeorgia,"4,496",tons
2012,Landings,Roe herring,Gillnet,PrinceRupertDistrict,"1,010",tons
2012,Landings,Roe herring,Seine,StraitofGeorgia,"3,494",tons
2012,Landings,Roe herring,Seine,PrinceRupertDistrict,514,tons
2012,Landings,Food and Bait,,StraitofGeorgia,"3,950",tons
2012,Landings,Food and Bait,,PrinceRupertDistrict,-,
2012,#Pools,Roe herring,Gillnet,StraitofGeorgia,33,
2012,#Pools,Roe herring,Gillnet,PrinceRupertDistrict,8,
2012,#Pools,Roe herring,Seine,StraitofGeorgia,10,
2012,#Pools,Roe herring,Seine,PrinceRupertDistrict,1,
2012,#Licences,Roe herring,Gillnet,StraitofGeorgia,1054,
2012,#Licences,Roe herring,Gillnet,PrinceRupertDistrict,118,
2012,#Licences,Roe herring,Seine,StraitofGeorgia,238,
2012,#Licences,Roe herring,Seine,PrinceRupertDistrict,11,
2012,#Licences,Food and Bait,,StraitofGeorgia,70,
2012,#Licences,Food and Bait,,PrinceRupertDistrict,0,
2012,Tonsperlicence,Roe herring,Gillnet,StraitofGeorgia,4.6,tons
2012,Tonsperlicence,Roe herring,Gillnet,PrinceRupertDistrict,8.47,tons
2012,Tonsperlicence,Roe herring,Seine,StraitofGeorgia,27.94,tons
2012,Tonsperlicence,Roe herring,Seine,PrinceRupertDistrict,45.45,tons
2012,Tonsperlicence,Food and Bait,,StraitofGeorgia,60,tons
2012,Tonsperlicence,Food and Bait,,PrinceRupertDistrict,60,tons
2012,Open,Roe herring,Gillnet,StraitofGeorgia,"Mar4, 2012 13:00h",
2012,Open,Roe herring,Gillnet,PrinceRupertDistrict,"Mar24, 2012 10:00h",
2012,Open,Roe herring,Seine,StraitofGeorgia,"Mar4, 2012 15:25h/Mar.
17, 2012 08:20h",
2012,Open,Roe herring,Seine,PrinceRupertDistrict,"Mar30, 2012 06:30h",
2011,ExpectedUse,Roe herring,Gillnet,StraitofGeorgia,"5,785",tons
2011,ExpectedUse,Roe herring,Gillnet,PrinceRupertDistrict,"1,346",tons
2011,ExpectedUse,Roe herring,Seine,StraitofGeorgia,7715,
2011,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,1000,
2011,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"5,785",tons
2011,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,346",tons
2011,QuotaIssued,Roe herring,Seine,StraitofGeorgia,7715,
2011,QuotaIssued,Roe herring,Seine,PrinceRupertDistrict,1000,
2011,QuotaIssued,Food and Bait,,StraitofGeorgia,300,tons
2011,QuotaIssued,Food and Bait,,PrinceRupertDistrict,50,tons
2011,Landings,Roe herring,Gillnet,StraitofGeorgia,"4,868",tons
2011,Landings,Roe herring,Gillnet,PrinceRupertDistrict,"1,392",tons
2011,Landings,Roe herring,Seine,StraitofGeorgia,0,
2011,Landings,Roe herring,Seine,PrinceRupertDistrict,973,
2011,Landings,Food and Bait,,StraitofGeorgia,283,tons
2011,Landings,Food and Bait,,PrinceRupertDistrict,-,
2011,#Pools,Roe herring,Gillnet,StraitofGeorgia,36,
2011,#Pools,Roe herring,Gillnet,PrinceRupertDistrict,8,
2011,#Pools,Roe herring,Seine,StraitofGeorgia,13,
2011,#Pools,Roe herring,Seine,PrinceRupertDistrict,1,
2011,#Licences,Roe herring,Gillnet,StraitofGeorgia,1133,
2011,#Licences,Roe herring,Gillnet,PrinceRupertDistrict,95,
2011,#Licences,Roe herring,Seine,StraitofGeorgia,238,
2011,#Licences,Roe herring,Seine,PrinceRupertDistrict,10,
2011,#Licences,Food and Bait,,StraitofGeorgia,6,
2011,#Licences,Food and Bait,,PrinceRupertDistrict,0,
2011,Tonsperlicence,Roe herring,Gillnet,StraitofGeorgia,5.106,tons
2011,Tonsperlicence,Roe herring,Gillnet,PrinceRupertDistrict,14.168,tons
2011,Tonsperlicence,Roe herring,Seine,StraitofGeorgia,32.416,
2011,Tonsperlicence,Roe herring,Seine,PrinceRupertDistrict,100,
